Date,Adj Close,% change,1monthchange
2017-02-10,17.94866753,0.0111,
2017-02-13,18.70666695,4.2232,
2017-02-14,18.73200035,0.1354,
2017-02-15,18.65066719,-0.4342,
2017-02-16,17.93000031,-3.864,
2017-02-17,18.14866638,1.2196,
2017-02-21,18.49266624,1.8955,
2017-02-22,18.23399925,-1.3988,
2017-02-23,17.06599998,-6.4056,
2017-02-24,17.13333321,0.3945,
2017-02-27,16.41533279,-4.1907,
2017-02-28,16.66600037,1.527,0.3009
2017-03-01,16.66799927,0.012,
2017-03-02,16.69866753,0.184,
2017-03-03,16.77133369,0.4352,
2017-03-06,16.74733353,-0.1431,
2017-03-07,16.57266617,-1.043,
2017-03-08,16.45800018,-0.6919,
2017-03-09,16.32666779,-0.798,
2017-03-10,16.24600029,-0.4941,
2017-03-13,16.41133308,1.0177,
2017-03-14,17.20000076,4.8056,
2017-03-15,17.04866791,-0.8798,
2017-03-16,17.46999931,2.4713,
2017-03-17,17.43333244,-0.2099,
2017-03-20,17.46133232,0.1606,
2017-03-21,16.71199989,-4.2914,
2017-03-22,17.00066757,1.7273,
2017-03-23,16.98533249,-0.0902,
2017-03-24,17.54400063,3.2891,
2017-03-27,18.01466751,2.6828,
2017-03-28,18.49666786,2.6756,
2017-03-29,18.49200058,-0.0252,
2017-03-30,18.52799988,0.1947,
2017-03-31,18.55333328,0.1367,11.3111
2017-04-03,19.90133286,7.2655,
2017-04-04,20.24666786,1.7352,
2017-04-05,19.66666794,-2.8647,
2017-04-06,19.91333389,1.2542,
2017-04-07,20.1693325,1.2856,
2017-04-10,20.82600021,3.2558,
2017-04-11,20.5806675,-1.178,
2017-04-12,19.78933334,-3.845,
2017-04-13,20.26666641,2.4121,
2017-04-17,20.09600067,-0.8421,
2017-04-18,20.01666641,-0.3948,
2017-04-19,20.36800003,1.7552,
2017-04-20,20.1673336,-0.9852,
2017-04-21,20.37333298,1.0215,
2017-04-24,20.53533363,0.7952,
2017-04-25,20.9193325,1.8699,
2017-04-26,20.6779995,-1.1536,
2017-04-27,20.57533264,-0.4965,
2017-04-28,20.93799973,1.7626,5.209
2017-05-01,21.52199936,2.7892,
2017-05-02,21.25933266,-1.2205,
2017-05-03,20.73466682,-2.4679,
2017-05-04,19.69733238,-5.0029,
2017-05-05,20.55666733,4.3627,
2017-05-08,20.47933388,-0.3762,
2017-05-09,21.4173336,4.5802,
2017-05-10,21.68133354,1.2326,
2017-05-11,21.54000092,-0.6519,
2017-05-12,21.65399933,0.5292,
2017-05-15,21.05866623,-2.7493,
2017-05-16,21.13400078,0.3577,
2017-05-17,20.40733337,-3.4384,
2017-05-18,20.8706665,2.2704,
2017-05-19,20.72200012,-0.7123,
2017-05-22,20.69000053,-0.1544,
2017-05-23,20.25733376,-2.0912,
2017-05-24,20.68133354,2.0931,
2017-05-25,21.12199974,2.1307,
2017-05-26,21.6760006,2.6229,
2017-05-30,22.34000015,3.0633,
2017-05-31,22.73399925,1.7636,5.6314
2017-06-01,22.69133377,-0.1877,
2017-06-02,22.65666771,-0.1528,
2017-06-05,23.1546669,2.198,
2017-06-06,23.5233326,1.5922,
2017-06-07,23.9766674,1.9272,
2017-06-08,24.66666794,2.8778,
2017-06-09,23.82133293,-3.427,
2017-06-12,23.93400002,0.473,
2017-06-13,25.06333351,4.7185,
2017-06-14,25.37733269,1.2528,
2017-06-15,25.02266693,-1.3976,
2017-06-16,24.76000023,-1.0497,
2017-06-19,24.65333366,-0.4308,
2017-06-20,24.81599998,0.6598,
2017-06-21,25.09333229,1.1176,
2017-06-22,25.50733376,1.6498,
2017-06-23,25.56333351,0.2195,
2017-06-26,25.16600037,-1.5543,
2017-06-27,24.15800095,-4.0054,
2017-06-28,24.74933243,2.4478,
2017-06-29,24.04999924,-2.8257,
2017-06-30,24.10733223,0.2384,6.2403
2017-07-03,23.50799942,-2.4861,
2017-07-05,21.80599976,-7.2401,
2017-07-06,20.58866692,-5.5826,
2017-07-07,20.8813324,1.4215,
2017-07-10,21.06999969,0.9035,
2017-07-11,21.81466675,3.5343,
2017-07-12,21.96800041,0.7029,
2017-07-13,21.56066704,-1.8542,
2017-07-14,21.85199928,1.3512,
2017-07-17,21.30466652,-2.5047,
2017-07-18,21.88266754,2.713,
2017-07-19,21.68400002,-0.9079,
2017-07-20,21.99466705,1.4327,
2017-07-21,21.89333344,-0.4607,
2017-07-24,22.83466721,4.2996,
2017-07-25,22.63999939,-0.8525,
2017-07-26,22.92333221,1.2515,
2017-07-27,22.29733276,-2.7308,
2017-07-28,22.33799934,0.1824,
2017-07-31,21.56466675,-3.462,-8.2667
2017-08-01,21.30466652,-1.2057,
2017-08-02,21.72599983,1.9777,
2017-08-03,23.13933372,6.5053,
2017-08-04,23.79400063,2.8292,
2017-08-07,23.6779995,-0.4875,
2017-08-08,24.34799957,2.8296,
2017-08-09,24.23533249,-0.4627,
2017-08-10,23.69333267,-2.2364,
2017-08-11,23.8579998,0.695,
2017-08-14,24.25333214,1.657,
2017-08-15,24.15533257,-0.4041,
2017-08-16,24.19400024,0.1601,
2017-08-17,23.46133232,-3.0283,
2017-08-18,23.16399956,-1.2673,
2017-08-21,22.52400017,-2.7629,
2017-08-22,22.75666618,1.033,
2017-08-23,23.51799965,3.3455,
2017-08-24,23.52866745,0.0454,
2017-08-25,23.2033329,-1.3827,
2017-08-28,23.04400063,-0.6867,
2017-08-29,23.15733337,0.4918,
2017-08-30,23.54533386,1.6755,
2017-08-31,23.7266674,0.7701,11.3684
2017-09-01,23.69333267,-0.1405,
2017-09-05,23.30599976,-1.6348,
2017-09-06,22.96866608,-1.4474,
2017-09-07,23.37400055,1.7647,
2017-09-08,22.89333344,-2.0564,
2017-09-11,24.24600029,5.9086,
2017-09-12,24.18333244,-0.2585,
2017-09-13,24.41533279,0.9593,
2017-09-14,25.1760006,3.1155,
2017-09-15,25.32066727,0.5746,
2017-09-18,25.66666794,1.3665,
2017-09-19,25.00666618,-2.5714,
2017-09-20,24.92733383,-0.3172,
2017-09-21,24.43199921,-1.9871,
2017-09-22,23.40600014,-4.1994,
2017-09-25,22.99933243,-1.7375,
2017-09-26,23.01666641,0.0754,
2017-09-27,22.73133278,-1.2397,
2017-09-28,22.63999939,-0.4018,
2017-09-29,22.73999977,0.4417,-4.0236
2017-10-02,22.76866722,0.1261,
2017-10-03,23.20933342,1.9354,
2017-10-04,23.6673336,1.9733,
2017-10-05,23.6886673,0.0901,
2017-10-06,23.79199982,0.4362,
2017-10-09,22.86266708,-3.9061,
2017-10-10,23.70599937,3.6887,
2017-10-11,23.63999939,-0.2784,
2017-10-12,23.71199989,0.3046,
2017-10-13,23.70466614,-0.0309,
2017-10-16,23.37333298,-1.3978,
2017-10-17,23.71666718,1.4689,
2017-10-18,23.9766674,1.0963,
2017-10-19,23.45400047,-2.1799,
2017-10-20,23.00666618,-1.9073,
2017-10-23,22.46800041,-2.3413,
2017-10-24,22.4893322,0.0949,
2017-10-25,21.72266769,-3.409,
2017-10-26,21.74466705,0.1013,
2017-10-27,21.39133263,-1.6249,
2017-10-30,21.33866692,-0.2462,
2017-10-31,22.10199928,3.5772,-2.928
2017-11-01,21.40533257,-3.1521,
2017-11-02,19.95066643,-6.7958,
2017-11-03,20.40600014,2.2823,
2017-11-06,20.18533325,-1.0814,
2017-11-07,20.40333366,1.08,
2017-11-08,20.29266739,-0.5424,
2017-11-09,20.19933319,-0.4599,
2017-11-10,20.19933319,0.0,
2017-11-13,21.02666664,4.0958,
2017-11-14,20.57999992,-2.1243,
2017-11-15,20.75333214,0.8422,
2017-11-16,20.83333206,0.3855,
2017-11-17,21.00333214,0.816,
2017-11-20,20.5826664,-2.0029,
2017-11-21,21.18733215,2.9377,
2017-11-22,20.84000015,-1.6393,
2017-11-24,21.03666687,0.9437,
2017-11-27,21.1206665,0.3993,
2017-11-28,21.17000008,0.2336,
2017-11-29,20.50266647,-3.1523,
2017-11-30,20.59000015,0.426,-3.809
2017-12-01,20.43533325,-0.7512,
2017-12-04,20.34666634,-0.4339,
2017-12-05,20.24666786,-0.4915,
2017-12-06,20.88400078,3.1478,
2017-12-07,20.74933243,-0.6448,
2017-12-08,21.00866699,1.2498,
2017-12-11,21.92733383,4.3728,
2017-12-12,22.73533249,3.6849,
2017-12-13,22.60199928,-0.5865,
2017-12-14,22.52599907,-0.3363,
2017-12-15,22.89666748,1.6455,
2017-12-18,22.59133339,-1.3335,
2017-12-19,22.07333374,-2.2929,
2017-12-20,21.93199921,-0.6403,
2017-12-21,22.11066628,0.8146,
2017-12-22,21.68000031,-1.9478,
2017-12-26,21.15266609,-2.4324,
2017-12-27,20.77599907,-1.7807,
2017-12-28,21.02400017,1.1937,
2017-12-29,20.75666618,-1.2716,1.5724
2018-01-02,21.3686676,2.9485,
2018-01-03,21.14999962,-1.0233,
2018-01-04,20.9746666,-0.829,
2018-01-05,21.10533333,0.623,
2018-01-08,22.42733383,6.2638,
2018-01-09,22.24600029,-0.8085,
2018-01-10,22.31999969,0.3326,
2018-01-11,22.53000069,0.9409,
2018-01-12,22.41466713,-0.5119,
2018-01-16,22.67066765,1.1421,
2018-01-17,23.1439991,2.0879,
2018-01-18,22.97133255,-0.7461,
2018-01-19,23.33466721,1.5817,
2018-01-22,23.43733215,0.44,
